"...1","artist_name","track_name","track_id","popularity","year","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track_artist","track_album_id","track_album_name","track_album_release_date"
162927,"Three Days Grace","I Am Machine","2UDumaw7osnyjH7RZ2DLpB",66,2015,"alt-rock",0.402,0.97,2,-4.538,0,0.0668,1.29e-05,2.62e-06,0.189,0.476,75.106,200147,4,"Three Days Grace","0YkHsU3Mblh7jvNngbV20W","Human","2015-03-27"
162932,"Bohnes","Middle Finger","0IK8y0vAO0sM630HsxwLht",64,2015,"alt-rock",0.685,0.656,1,-6.013,0,0.0383,0.437,0,0.347,0.392,128.003,229986,4,"Bohnes","28wghnxxsb5NFcE9P4caeD","Middle Finger - Single","2015-12-14"
162938,"Three Days Grace","Fallen Angel","2iptAVf9jZerlywLwiGhak",62,2015,"alt-rock",0.453,0.911,2,-3.775,0,0.0382,0.00554,0,0.0627,0.218,137.011,186147,4,"Three Days Grace","0YkHsU3Mblh7jvNngbV20W","Human","2015-03-27"
174627,"Flo Rida","My House","6Knv6wdA0luoMUuuoYi2i1",75,2015,"edm",0.688,0.702,7,-4.792,0,0.0499,0.0215,0,0.128,0.74,94.006,192191,4,"Flo Rida","5lkNnHVlnCCCV304t89wOH","My House","2015-04-07"
174628,"Avicii","Waiting For Love","2P4OICZRVAQcYAV2JReRfj",81,2015,"edm",0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,230613,4,"Avicii","7dqftJ3kas6D0VAdmt3k3V","Stories","2015-10-02"
174631,"The Chainsmokers","Roses","3vv9phIu6Y1vX3jcqaGz5Z",72,2015,"edm",0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,4,"The Chainsmokers","2GFflENKz28RcMoSuulPZC","Roses","2015-06-16"
174633,"Galantis","Runaway (U & I)","46lFttIf5hnUZMGvjK0Wxo",74,2015,"edm",0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,227074,4,"Galantis","4QcXq4vTVN7dFb7bZa9jG2","Pharmacy","2015-06-05"
174634,"Jason Derulo","Want to Want Me","7oGZAicScQt96OAW4AruYy",73,2015,"edm",0.775,0.68,0,-5.508,0,0.0629,0.00906,0,0.109,0.656,114.025,207719,4,"Jason Derulo","59eUYETmE1zi31ESb3SUkI","Everything Is 4","2015-05-29"
174635,"Jack Ü","Where Are Ü Now (with Justin Bieber)","66hayvUbTotekKU3H4ta1f",73,2015,"edm",0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,250286,4,"Jack Ü","6bfkwBrGYKJFk6Z4QVyjxd","Skrillex and Diplo present Jack Ü","2015-02-24"
174638,"Major Lazer","Light It Up - Remix","500mvzh7TRZ0YdnVeHhj8b",66,2015,"edm",0.747,0.877,9,-3.782,0,0.0664,0.0375,0.000833,0.233,0.752,107.991,166138,4,"Major Lazer","4pCLlUxlKj3pNVdBtFyhrU","Peace Is The Mission (Extended)","2015-11-27"
174639,"Nick Jonas","Jealous","2RqtfcLB7iOZj0zYB8Auhu",65,2015,"edm",0.7,0.701,11,-3.834,0,0.161,0.013,0,0.461,0.38,93.012,223107,4,"Nick Jonas","4G4Azv5cwPBv3vCA0mD6ei","Nick Jonas X2","2015-11-20"
174641,"Robin Schulz","Sugar (feat. Francesco Yates)","5tf1VVWniHgryyumXyJM7w",75,2015,"edm",0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,219043,4,"Robin Schulz","5XyJzEROSmup2TcWmVjTIt","Sugar","2015-09-25"
174642,"Nick Jonas","Jealous - Remix","5NQJnRpJHRaupdegphntQT",64,2015,"edm",0.684,0.71,11,-3.614,0,0.0779,0.0132,0,0.444,0.451,93.007,222187,4,"Nick Jonas","4G4Azv5cwPBv3vCA0mD6ei","Nick Jonas X2","2015-11-20"
